id_manutencao,id_veiculo,data,tipo,custo_manutencao
MNT-0001,VEI-001,2025-01-16,corretiva,7339.19
MNT-0002,VEI-001,2025-05-14,preventiva,6368.43
MNT-0003,VEI-001,2025-11-15,corretiva,6109.2
MNT-0004,VEI-002,2025-06-10,corretiva,5497.59
MNT-0005,VEI-003,2025-04-06,corretiva,7462.36
MNT-0006,VEI-004,2025-01-11,corretiva,5741.43
MNT-0007,VEI-005,2025-04-12,corretiva,5282.78
MNT-0008,VEI-005,2025-10-06,preventiva,4490.58
MNT-0009,VEI-006,2025-01-03,preventiva,4876.81
MNT-0010,VEI-006,2025-12-15,preventiva,5003.02
MNT-0011,VEI-007,2025-03-20,corretiva,6726.86
MNT-0012,VEI-008,2025-07-11,corretiva,8556.84
MNT-0013,VEI-008,2025-10-19,preventiva,4697.17
MNT-0014,VEI-009,2025-10-07,corretiva,5384.3
MNT-0015,VEI-011,2025-09-01,preventiva,6153.58
MNT-0016,VEI-011,2025-11-14,corretiva,5823.55
MNT-0017,VEI-012,2025-09-21,corretiva,1780.66
MNT-0018,VEI-013,2025-01-15,corretiva,7140.5
MNT-0019,VEI-017,2025-01-06,preventiva,5530.37
MNT-0020,VEI-017,2025-07-11,corretiva,6609.71
MNT-0021,VEI-017,2025-09-22,preventiva,7069.39
MNT-0022,VEI-017,2025-10-20,corretiva,6655.39
MNT-0023,VEI-018,2025-04-12,corretiva,4307.57
MNT-0024,VEI-018,2025-05-12,corretiva,4268.49
MNT-0025,VEI-019,2025-12-12,corretiva,8204.29
MNT-0026,VEI-020,2025-04-09,corretiva,7234.11
MNT-0027,VEI-020,2025-10-06,corretiva,5944.12
MNT-0028,VEI-021,2025-04-07,corretiva,5036.14
MNT-0029,VEI-021,2025-06-17,corretiva,3746.09
MNT-0030,VEI-021,2025-07-02,corretiva,4343.59
MNT-0031,VEI-021,2025-09-10,corretiva,5615.63
MNT-0032,VEI-021,2025-10-14,corretiva,5282.08
MNT-0033,VEI-021,2025-11-09,corretiva,4201.29
MNT-0034,VEI-022,2025-05-26,preventiva,6055.62
MNT-0035,VEI-022,2025-07-23,corretiva,4035.98
MNT-0036,VEI-023,2025-04-24,corretiva,4430.73
MNT-0037,VEI-023,2025-08-08,preventiva,5554.81
MNT-0038,VEI-024,2025-06-26,corretiva,3534.67
MNT-0039,VEI-024,2025-09-03,preventiva,5437.34
MNT-0040,VEI-025,2025-03-05,corretiva,5239.96
MNT-0041,VEI-025,2025-08-14,preventiva,5692.26
MNT-0042,VEI-025,2025-10-27,corretiva,7932.92
MNT-0043,VEI-026,2025-01-09,corretiva,7189.96
MNT-0044,VEI-026,2025-03-01,corretiva,7147.54
MNT-0045,VEI-026,2025-04-27,corretiva,9133.94
MNT-0046,VEI-026,2025-05-12,corretiva,7528.66
MNT-0047,VEI-026,2025-08-24,preventiva,8246.39
MNT-0048,VEI-026,2025-10-07,corretiva,7198.95
MNT-0049,VEI-026,2025-12-27,corretiva,7708.31
MNT-0050,VEI-027,2025-11-18,corretiva,5092.83
MNT-0051,VEI-028,2025-09-26,corretiva,6165.98
MNT-0052,VEI-028,2025-10-16,preventiva,3905.02
MNT-0053,VEI-029,2025-04-23,corretiva,5818.92
MNT-0054,VEI-029,2025-10-19,corretiva,5589.0
MNT-0055,VEI-029,2025-12-10,corretiva,4532.05
MNT-0056,VEI-031,2025-01-17,preventiva,5622.02
MNT-0057,VEI-031,2025-07-20,corretiva,5968.1
MNT-0058,VEI-032,2025-11-24,corretiva,4846.46
MNT-0059,VEI-033,2025-02-07,corretiva,6678.74
MNT-0060,VEI-033,2025-09-13,corretiva,5960.66
MNT-0061,VEI-034,2025-06-05,corretiva,7358.88
MNT-0062,VEI-034,2025-09-27,corretiva,7167.3
MNT-0063,VEI-034,2025-10-26,corretiva,4274.84
MNT-0064,VEI-034,2025-12-24,preventiva,4245.06
MNT-0065,VEI-035,2025-06-10,corretiva,4794.04
MNT-0066,VEI-037,2025-01-18,corretiva,7877.7
MNT-0067,VEI-037,2025-09-04,preventiva,6867.48
MNT-0068,VEI-038,2025-11-26,preventiva,3492.19
MNT-0069,VEI-039,2025-03-20,corretiva,7441.86
MNT-0070,VEI-039,2025-04-22,corretiva,7954.37
MNT-0071,VEI-039,2025-07-03,corretiva,7976.69
MNT-0072,VEI-039,2025-11-06,preventiva,8490.81
MNT-0073,VEI-039,2025-12-06,corretiva,7033.66
MNT-0074,VEI-040,2025-01-08,corretiva,3799.26
MNT-0075,VEI-041,2025-06-09,preventiva,3551.33
MNT-0076,VEI-042,2025-12-15,preventiva,6156.84
MNT-0077,VEI-044,2025-01-08,corretiva,6892.87
MNT-0078,VEI-044,2025-02-15,preventiva,6364.96
MNT-0079,VEI-047,2025-02-22,preventiva,5904.67
MNT-0080,VEI-048,2025-02-16,corretiva,7349.5
MNT-0081,VEI-048,2025-04-04,corretiva,7316.46
MNT-0082,VEI-048,2025-07-08,preventiva,7107.01
MNT-0083,VEI-048,2025-08-09,preventiva,6224.21
MNT-0084,VEI-048,2025-10-21,corretiva,6018.12
MNT-0085,VEI-048,2025-12-19,corretiva,6841.21
MNT-0086,VEI-049,2025-01-23,preventiva,6621.43
MNT-0087,VEI-049,2025-09-25,preventiva,6952.73
MNT-0088,VEI-049,2025-11-23,corretiva,6862.88
MNT-0089,VEI-049,2025-12-01,corretiva,7179.97
MNT-0090,VEI-052,2025-01-23,preventiva,4913.91
MNT-0091,VEI-053,2025-05-26,corretiva,6835.84
MNT-0092,VEI-054,2025-03-16,corretiva,3784.05
MNT-0093,VEI-054,2025-04-24,corretiva,5715.41
MNT-0094,VEI-054,2025-10-18,preventiva,5914.17
MNT-0095,VEI-055,2025-05-20,corretiva,8068.3
MNT-0096,VEI-055,2025-08-20,preventiva,9401.87
MNT-0097,VEI-055,2025-09-20,preventiva,8936.38
MNT-0098,VEI-055,2025-10-26,corretiva,7867.01
MNT-0099,VEI-055,2025-12-01,corretiva,8370.83
MNT-0100,VEI-056,2025-09-25,corretiva,5064.41
MNT-0101,VEI-057,2025-01-05,corretiva,6693.85
MNT-0102,VEI-057,2025-07-07,corretiva,7274.6
MNT-0103,VEI-057,2025-09-27,preventiva,5798.01
MNT-0104,VEI-057,2025-11-26,preventiva,5881.85
MNT-0105,VEI-058,2025-03-26,corretiva,6939.82
MNT-0106,VEI-058,2025-06-23,corretiva,5503.64
MNT-0107,VEI-058,2025-12-24,corretiva,5965.67
MNT-0108,VEI-059,2025-09-18,preventiva,3395.58
MNT-0109,VEI-060,2025-01-23,corretiva,5541.15
MNT-0110,VEI-060,2025-07-14,corretiva,3536.0
MNT-0111,VEI-060,2025-08-06,corretiva,5278.15
MNT-0112,VEI-060,2025-11-06,preventiva,5688.79
