id_viagem,id_rota,id_veiculo,id_motorista,mes,km_rodado,retorno_vazio,volume_m3,custo_combustivel,custo_pedagio,custo_manutencao_rateado,faturamento_viagem
ROT-01-00000,ROT-01,VEI-053,MOT-34,2025-05-01,193.7,False,19.5,434.06,67.33,17.08,2267.79
ROT-01-00001,ROT-01,VEI-015,MOT-16,2025-09-01,190.9,False,27.0,415.02,63.53,18.17,2686.55
ROT-01-00002,ROT-01,VEI-059,MOT-14,2025-02-01,189.7,True,21.8,422.17,55.76,21.22,1171.36
ROT-01-00003,ROT-01,VEI-001,MOT-15,2025-01-01,195.6,False,29.0,351.92,44.77,18.76,2249.87
ROT-01-00004,ROT-01,VEI-039,MOT-09,2025-06-01,190.0,True,20.1,406.9,46.91,17.65,1429.79
ROT-01-00005,ROT-01,VEI-015,MOT-27,2025-01-01,187.3,False,21.4,376.81,51.65,22.02,2357.07
ROT-01-00006,ROT-01,VEI-030,MOT-19,2025-12-01,194.3,True,19.6,455.05,67.2,28.34,1273.84
ROT-01-00007,ROT-01,VEI-017,MOT-22,2025-10-01,195.4,True,24.1,453.16,65.05,16.18,1317.44
ROT-01-00008,ROT-01,VEI-013,MOT-45,2025-05-01,185.1,True,23.6,358.21,55.92,25.54,1429.45
ROT-01-00009,ROT-01,VEI-041,MOT-26,2025-08-01,192.4,False,26.2,347.67,40.46,17.65,2698.17
ROT-01-00010,ROT-01,VEI-011,MOT-24,2025-10-01,194.8,False,22.0,365.72,35.26,22.6,2213.93
ROT-01-00011,ROT-01,VEI-017,MOT-11,2025-02-01,195.3,False,27.6,381.28,60.61,25.23,2651.22
ROT-01-00012,ROT-01,VEI-001,MOT-25,2025-10-01,189.2,False,26.3,414.8,41.07,24.01,2239.89
ROT-01-00013,ROT-01,VEI-011,MOT-27,2025-12-01,190.6,False,18.8,322.97,29.18,28.03,2453.78
ROT-01-00014,ROT-01,VEI-008,MOT-01,2025-06-01,192.5,False,26.8,408.19,50.55,22.92,2835.42
ROT-01-00015,ROT-01,VEI-022,MOT-02,2025-05-01,184.8,False,25.6,375.9,30.45,22.45,2196.47
